Security,ALSEA* MM Equity                                                
Start Date,08/01/2001 00:00
End Date,07/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
24/11/2009,9.5
23/11/2009,9.64
20/11/2009,9.46
19/11/2009,9.25
18/11/2009,9.35
17/11/2009,9.3
13/11/2009,9.08
12/11/2009,9.08
11/11/2009,9.26
10/11/2009,9.08
09/11/2009,9.24
06/11/2009,9.23
05/11/2009,8.91
04/11/2009,8.75
03/11/2009,8.6
30/10/2009,8.57
29/10/2009,8.82
28/10/2009,8.44
27/10/2009,8.44
26/10/2009,8.97
23/10/2009,8.99
22/10/2009,8.96
21/10/2009,8.99
20/10/2009,8.94
19/10/2009,9.14
16/10/2009,8.85
15/10/2009,9.01
14/10/2009,9.08
13/10/2009,9.19
12/10/2009,9.74
09/10/2009,8.47
08/10/2009,8.56
07/10/2009,8.38
06/10/2009,8.53
05/10/2009,8.41
02/10/2009,8.29
01/10/2009,8.34
30/09/2009,8.5
29/09/2009,8.43
28/09/2009,8.37
25/09/2009,8.18
24/09/2009,7.96
23/09/2009,8.29
22/09/2009,8.41
21/09/2009,8.15
18/09/2009,8.13
17/09/2009,8.43
15/09/2009,8.46
14/09/2009,8.55
11/09/2009,8.48
10/09/2009,8.55
09/09/2009,8.53
08/09/2009,8.64
07/09/2009,8.39
04/09/2009,8.42
03/09/2009,8.34
02/09/2009,8.43
01/09/2009,8.07
31/08/2009,8.04
28/08/2009,8.09
27/08/2009,8.16
26/08/2009,8.19
25/08/2009,8.07
24/08/2009,8.38
21/08/2009,7.75
20/08/2009,7.72
19/08/2009,7.76
18/08/2009,7.61
17/08/2009,7.37
14/08/2009,7.84
13/08/2009,7.99
12/08/2009,7.97
11/08/2009,7.67
10/08/2009,7.98
07/08/2009,7.94
06/08/2009,8.09
05/08/2009,8.25
04/08/2009,8.18
03/08/2009,7.68
31/07/2009,7.53
30/07/2009,7.5
29/07/2009,7.41
28/07/2009,7.4
27/07/2009,7.46
24/07/2009,7.16
23/07/2009,7.28
22/07/2009,7.32
21/07/2009,7.25
20/07/2009,7.36
17/07/2009,7.37
16/07/2009,7.45
15/07/2009,7.42
14/07/2009,6.97
13/07/2009,6.7
10/07/2009,6.78
09/07/2009,6.73
08/07/2009,6.6
07/07/2009,7.01
06/07/2009,7.03
03/07/2009,7.24
02/07/2009,7.32
01/07/2009,7.55
30/06/2009,7.29
29/06/2009,7.33
26/06/2009,7.05
25/06/2009,6.97
24/06/2009,6.82
23/06/2009,6.82
22/06/2009,6.61
19/06/2009,6.82
