Security,ALPEKA MM Equity                                                
Start Date,25/04/2012 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
7/4/2015,17.88
6/4/2015,17.3
1/4/2015,17.28
31/03/2015,17.1
30/03/2015,17.31
27/03/2015,17.41
26/03/2015,17.66
25/03/2015,18.17
24/03/2015,17.95
23/03/2015,18.09
20/03/2015,18.22
19/03/2015,18.1
18/03/2015,18.34
17/03/2015,18.24
13/03/2015,18.26
12/3/2015,18.69
11/3/2015,18.22
10/3/2015,17.76
9/3/2015,17.85
6/3/2015,17.72
5/3/2015,17.92
4/3/2015,17.3
3/3/2015,17.3
2/3/2015,17.29
27/02/2015,17.98
26/02/2015,17.62
25/02/2015,17.46
24/02/2015,17.69
23/02/2015,16.41
20/02/2015,16.37
19/02/2015,16.08
18/02/2015,16.21
17/02/2015,16.39
16/02/2015,16.01
13/02/2015,16.08
12/2/2015,15.66
11/2/2015,15.9
10/2/2015,16.16
9/2/2015,16.41
6/2/2015,16.58
5/2/2015,16.14
4/2/2015,15.99
3/2/2015,16.89
30/01/2015,16.66
29/01/2015,17.02
28/01/2015,16.91
27/01/2015,16.99
26/01/2015,17
23/01/2015,16.98
22/01/2015,16.8
21/01/2015,16.44
20/01/2015,15.53
19/01/2015,15.77
16/01/2015,15.89
15/01/2015,15.61
14/01/2015,16.24
13/01/2015,16.58
12/1/2015,17.48
9/1/2015,17.68
8/1/2015,17.54
7/1/2015,17.27
6/1/2015,17.29
5/1/2015,17.38
2/1/2015,18.51
31/12/2014,18.88
30/12/2014,19.25
29/12/2014,18.65
26/12/2014,18.61
24/12/2014,18.87
23/12/2014,18.9
22/12/2014,19.21
19/12/2014,19.83
18/12/2014,19.54
17/12/2014,19.25
16/12/2014,18.68
15/12/2014,18.35
11/12/2014,18.99
10/12/2014,19.33
9/12/2014,19.84
8/12/2014,19.95
5/12/2014,20.34
4/12/2014,20.62
3/12/2014,20.86
2/12/2014,20.31
1/12/2014,20.57
28/11/2014,21.36
27/11/2014,21.99
26/11/2014,22.37
25/11/2014,22.12
24/11/2014,22.45
21/11/2014,22.59
20/11/2014,22.81
19/11/2014,23
18/11/2014,22.99
14/11/2014,22.44
13/11/2014,22.46
12/11/2014,22.48
11/11/2014,22.84
10/11/2014,22.71
7/11/2014,22.99
6/11/2014,22.89
5/11/2014,22.98
4/11/2014,23.19
3/11/2014,23.63
31/10/2014,23.82
30/10/2014,24.15
29/10/2014,23.77
28/10/2014,23.41
27/10/2014,23.2
24/10/2014,23.33
23/10/2014,23.62
22/10/2014,23.66
21/10/2014,24.23
20/10/2014,24.9
17/10/2014,24.13
16/10/2014,23.86
15/10/2014,23.32
14/10/2014,23.43
13/10/2014,23.54
10/10/2014,23.54
9/10/2014,23.59
8/10/2014,23.82
7/10/2014,23.88
6/10/2014,24.18
3/10/2014,24.2
2/10/2014,24.3
1/10/2014,24.8
30/09/2014,24.71
29/09/2014,24.34
26/09/2014,24.9
25/09/2014,24.93
24/09/2014,24.99
23/09/2014,24.9
22/09/2014,25.05
19/09/2014,25.06
18/09/2014,25.04
17/09/2014,25.22
15/09/2014,25
12/9/2014,25.31
11/9/2014,25.37
10/9/2014,25.52
9/9/2014,25.61
8/9/2014,26.16
5/9/2014,26.3
4/9/2014,26.37
3/9/2014,26.27
2/9/2014,26.12
1/9/2014,26.03
29/08/2014,26.31
28/08/2014,26.67
27/08/2014,26.69
26/08/2014,26.72
25/08/2014,27.04
22/08/2014,26.36
21/08/2014,26.41
20/08/2014,25.41
19/08/2014,25.28
18/08/2014,24.8
15/08/2014,24.78
14/08/2014,24.68
13/08/2014,24.64
12/8/2014,24.62
11/8/2014,24.64
8/8/2014,24.63
7/8/2014,24.75
6/8/2014,25.16
5/8/2014,25.06
4/8/2014,25.26
1/8/2014,23.94
31/07/2014,24.01
30/07/2014,24.2
29/07/2014,24.16
28/07/2014,24.02
25/07/2014,23.66
24/07/2014,23.45
23/07/2014,23.36
22/07/2014,23.3
21/07/2014,23.18
18/07/2014,23.04
17/07/2014,23.36
16/07/2014,24.08
15/07/2014,24.27
14/07/2014,24.88
11/7/2014,24.73
10/7/2014,24.7
9/7/2014,24.38
8/7/2014,25.11
7/7/2014,25.29
4/7/2014,25.01
3/7/2014,25.18
2/7/2014,25.13
1/7/2014,24.87
30/06/2014,24.99
27/06/2014,25.02
26/06/2014,25.05
25/06/2014,25.34
24/06/2014,25.5
23/06/2014,25.83
20/06/2014,25.61
19/06/2014,25.69
18/06/2014,24.87
17/06/2014,24.78
16/06/2014,24.76
13/06/2014,25.07
12/6/2014,24.77
11/6/2014,24.67
10/6/2014,24.82
9/6/2014,25
6/6/2014,24.79
5/6/2014,24.36
4/6/2014,24.26
3/6/2014,24.68
2/6/2014,25.01
30/05/2014,24.59
29/05/2014,24.86
28/05/2014,24.98
27/05/2014,25.06
26/05/2014,25.35
23/05/2014,24.81
22/05/2014,24.88
21/05/2014,24.89
20/05/2014,24.81
19/05/2014,24.96
16/05/2014,24.78
15/05/2014,24.32
14/05/2014,24.5
13/05/2014,24.18
12/5/2014,23.97
9/5/2014,23.39
8/5/2014,23.02
7/5/2014,23.49
6/5/2014,23.38
5/5/2014,22.77
2/5/2014,22.61
30/04/2014,22.5
29/04/2014,22.26
28/04/2014,21.44
25/04/2014,21.84
24/04/2014,22.04
23/04/2014,22.4
22/04/2014,22.52
21/04/2014,22
16/04/2014,21.92
15/04/2014,22.16
14/04/2014,22.11
11/4/2014,22.49
10/4/2014,23.23
9/4/2014,23.34
8/4/2014,23.29
7/4/2014,23.64
4/4/2014,23.56
3/4/2014,23.2
2/4/2014,23.6
1/4/2014,23.87
31/03/2014,23.27
28/03/2014,22.6
27/03/2014,22.31
26/03/2014,22.17
25/03/2014,22.76
24/03/2014,22.71
21/03/2014,22.91
20/03/2014,22.41
19/03/2014,21.93
18/03/2014,21.5
14/03/2014,21.2
13/03/2014,21.77
12/3/2014,22.51
11/3/2014,22.98
10/3/2014,23.49
7/3/2014,23.23
6/3/2014,23.35
5/3/2014,23.04
4/3/2014,23.45
3/3/2014,22.66
28/02/2014,22.56
27/02/2014,22.71
26/02/2014,22.68
25/02/2014,22.97
24/02/2014,24.08
21/02/2014,23.84
20/02/2014,23.1
19/02/2014,23.39
18/02/2014,24.45
17/02/2014,25.05
14/02/2014,24.92
