Security,ALPEKA MM Equity                                                
Start Date,25/04/2012 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
21/06/2017,21.3
20/06/2017,22.17
19/06/2017,22.34
16/06/2017,22.54
15/06/2017,22.44
14/06/2017,22.43
13/06/2017,22.35
12/6/2017,22.64
9/6/2017,22.44
8/6/2017,22.33
7/6/2017,22.31
6/6/2017,22.19
5/6/2017,22.66
2/6/2017,22.67
1/6/2017,23.11
31/05/2017,22.74
30/05/2017,22.51
29/05/2017,23.18
26/05/2017,23.18
25/05/2017,23.03
24/05/2017,23.22
23/05/2017,23.19
22/05/2017,23.37
19/05/2017,23.07
18/05/2017,23.45
17/05/2017,22.99
16/05/2017,23.09
15/05/2017,23.02
12/5/2017,23.07
11/5/2017,23.03
10/5/2017,22.91
9/5/2017,22.87
8/5/2017,22.34
5/5/2017,22.58
4/5/2017,22.63
3/5/2017,22.61
2/5/2017,22.74
28/04/2017,22.57
27/04/2017,22.54
26/04/2017,21.76
25/04/2017,21.9
24/04/2017,20.33
21/04/2017,20.51
20/04/2017,20.23
19/04/2017,20.03
18/04/2017,19.98
17/04/2017,20.6
12/4/2017,20.7
11/4/2017,20.71
10/4/2017,20.86
7/4/2017,21.03
6/4/2017,21.47
5/4/2017,21.34
4/4/2017,21.3
3/4/2017,20.87
31/03/2017,20.81
30/03/2017,20.93
29/03/2017,20.84
28/03/2017,20.81
27/03/2017,20.41
24/03/2017,20.61
23/03/2017,20.51
22/03/2017,20.74
21/03/2017,20.32
17/03/2017,21.4
16/03/2017,21.75
15/03/2017,21.37
14/03/2017,21.09
13/03/2017,21.02
10/3/2017,20.56
9/3/2017,20.41
8/3/2017,20.61
7/3/2017,20.52
6/3/2017,20.29
3/3/2017,20.19
2/3/2017,21.03
1/3/2017,21.4
28/02/2017,21.32
27/02/2017,21.38
24/02/2017,20.81
23/02/2017,21.35
22/02/2017,21.57
21/02/2017,21.69
20/02/2017,21.37
17/02/2017,21.24
16/02/2017,21.92
15/02/2017,21.33
14/02/2017,23.91
13/02/2017,24.18
10/2/2017,24.45
9/2/2017,24.63
8/2/2017,24.2
7/2/2017,24.15
3/2/2017,24.65
2/2/2017,23.97
1/2/2017,23.36
31/01/2017,23.99
30/01/2017,24
27/01/2017,24.59
26/01/2017,24.86
25/01/2017,25.32
24/01/2017,25.84
23/01/2017,25.42
20/01/2017,24.98
19/01/2017,24.82
18/01/2017,25.45
17/01/2017,26
16/01/2017,26.14
13/01/2017,26.69
12/1/2017,25.84
11/1/2017,25.53
10/1/2017,25.3
9/1/2017,25.1
6/1/2017,25.4
5/1/2017,24.96
4/1/2017,24.44
3/1/2017,24.64
2/1/2017,24.77
30/12/2016,24.77
29/12/2016,24.88
28/12/2016,23.99
27/12/2016,24.16
26/12/2016,24.39
23/12/2016,24.58
22/12/2016,23.92
21/12/2016,24.61
20/12/2016,25.39
19/12/2016,26
16/12/2016,26.65
15/12/2016,26.54
14/12/2016,26.96
13/12/2016,27.47
9/12/2016,27.49
8/12/2016,27.38
7/12/2016,27.72
6/12/2016,27.52
5/12/2016,28
2/12/2016,27.42
1/12/2016,28.31
30/11/2016,28.31
29/11/2016,27.35
28/11/2016,27.24
25/11/2016,27.62
24/11/2016,28.23
23/11/2016,27.97
22/11/2016,27.18
18/11/2016,25.79
17/11/2016,26.09
16/11/2016,25.13
15/11/2016,25.4
14/11/2016,25.54
11/11/2016,25.66
10/11/2016,25.8
9/11/2016,26.74
8/11/2016,27.27
7/11/2016,27.43
4/11/2016,27.01
3/11/2016,27
1/11/2016,27.99
31/10/2016,28.14
28/10/2016,28.73
27/10/2016,29.01
26/10/2016,28.72
25/10/2016,29.01
24/10/2016,29.91
21/10/2016,30.39
20/10/2016,30.18
19/10/2016,29.49
18/10/2016,30.22
17/10/2016,31.96
14/10/2016,32.77
13/10/2016,32.92
12/10/2016,32.91
11/10/2016,33.08
10/10/2016,33.29
7/10/2016,32.89
6/10/2016,33.47
5/10/2016,33.05
4/10/2016,32.95
3/10/2016,32.79
30/09/2016,32.92
29/09/2016,33.32
28/09/2016,34.1
27/09/2016,33.3
26/09/2016,32.61
23/09/2016,32.62
22/09/2016,32.27
21/09/2016,31.85
20/09/2016,31.63
19/09/2016,31.71
15/09/2016,32.09
14/09/2016,31.97
13/09/2016,32.25
12/9/2016,32.77
9/9/2016,33.01
8/9/2016,33.9
7/9/2016,33.43
6/9/2016,33.71
5/9/2016,33.71
2/9/2016,33.82
1/9/2016,32.94
31/08/2016,32.48
30/08/2016,32.24
29/08/2016,32.31
26/08/2016,32.23
25/08/2016,32.52
24/08/2016,33.32
23/08/2016,33.07
22/08/2016,33.49
19/08/2016,33.4
18/08/2016,33.7
17/08/2016,33.56
16/08/2016,33.77
15/08/2016,34.39
12/8/2016,33.9
11/8/2016,33.99
10/8/2016,34.32
9/8/2016,34.73
8/8/2016,35.08
5/8/2016,34.75
4/8/2016,34.78
3/8/2016,35.1
2/8/2016,34.1
1/8/2016,33.4
29/07/2016,33.24
28/07/2016,33.01
27/07/2016,33.96
26/07/2016,34.1
25/07/2016,33.67
22/07/2016,32.98
21/07/2016,32.4
20/07/2016,32.29
19/07/2016,31.83
18/07/2016,31.49
15/07/2016,31.11
14/07/2016,30.54
13/07/2016,30.93
12/7/2016,32.38
11/7/2016,32.13
8/7/2016,31.24
7/7/2016,31.02
6/7/2016,30.89
5/7/2016,30.05
4/7/2016,30.13
1/7/2016,30.36
30/06/2016,30.01
29/06/2016,29.91
28/06/2016,29.28
27/06/2016,28.42
24/06/2016,28.73
23/06/2016,28.82
22/06/2016,28.78
21/06/2016,28.65
20/06/2016,28.47
17/06/2016,28.05
16/06/2016,27.58
15/06/2016,27.53
14/06/2016,27.44
13/06/2016,27.33
10/6/2016,27.15
9/6/2016,27.51
8/6/2016,27.48
7/6/2016,27.42
6/6/2016,27.09
3/6/2016,27.12
2/6/2016,27.36
1/6/2016,27.77
31/05/2016,27.69
30/05/2016,27.53
27/05/2016,27.86
26/05/2016,27.76
25/05/2016,27.89
24/05/2016,27.68
23/05/2016,27.38
20/05/2016,27.24
19/05/2016,27.82
18/05/2016,28.44
17/05/2016,28.23
16/05/2016,28.26
13/05/2016,28.14
12/5/2016,28.43
11/5/2016,28.52
10/5/2016,28.97
9/5/2016,28.74
6/5/2016,28.36
5/5/2016,28.59
4/5/2016,28.67
3/5/2016,28.57
2/5/2016,28.81
29/04/2016,28.73
28/04/2016,29.26
27/04/2016,29.35
26/04/2016,28.96
25/04/2016,28.68
22/04/2016,28.79
21/04/2016,28.59
20/04/2016,28.08
19/04/2016,28.24
18/04/2016,27.68
15/04/2016,28.27
14/04/2016,29
13/04/2016,28.77
12/4/2016,28.3
11/4/2016,27.43
8/4/2016,27.53
7/4/2016,27.08
6/4/2016,27.54
5/4/2016,27.51
4/4/2016,27.26
1/4/2016,27.26
31/03/2016,27.25
30/03/2016,27.22
29/03/2016,27.14
28/03/2016,26.86
23/03/2016,26.66
