Security;AMXL MM Equity                                                   ;
Start Date;07/02/2001 0:00;
End Date;11/07/2018 0:00;
Period;D;
Currency;MXN;
;;
Date;PX_LAST;PX_VOLUME
30/01/2008;15,2;109290200
29/01/2008;15,17;84305200
28/01/2008;14,68;60715600
25/01/2008;14,24;90904000
24/01/2008;14,71;122713400
23/01/2008;14,66;143079400
22/01/2008;14,1;176699600
21/01/2008;12,65;72849800
18/01/2008;13,6;132575800
17/01/2008;13,83;143337400
16/01/2008;14,31;164246000
15/01/2008;14,76;111264000
14/01/2008;15,19;90923800
11/01/2008;15,41;61045800
10/01/2008;15,74;110956400
09/01/2008;15,33;118797600
08/01/2008;15,27;99475800
07/01/2008;15;65708000
04/01/2008;15,18;47168200
03/01/2008;15,45;47205200
02/01/2008;15,38;64145000
31/12/2007;15,89;21303400
28/12/2007;15,73;22750600
27/12/2007;15,62;20871600
26/12/2007;15,73;23691600
24/12/2007;15,66;13624800
21/12/2007;15,61;46668000
20/12/2007;15,2;48162400
19/12/2007;15,3;65980000
18/12/2007;15,46;66278600
17/12/2007;15,25;74707200
14/12/2007;16;35656400
13/12/2007;16,05;57270000
11/12/2007;15,93;79474800
10/12/2007;16,45;90925000
07/12/2007;16,65;73338800
06/12/2007;16,71;78354200
05/12/2007;16,72;119111800
04/12/2007;16,3;60390800
03/12/2007;16,2;52274000
30/11/2007;15,92;98375200
29/11/2007;15,56;70372400
28/11/2007;15,37;94492400
27/11/2007;14,67;51739200
26/11/2007;14,67;51444000
23/11/2007;15,09;37728200
22/11/2007;15,13;10122400
21/11/2007;15,1;63535600
20/11/2007;15,31;44129400
16/11/2007;15,59;55107200
15/11/2007;15,21;63098000
14/11/2007;15,52;104777600
13/11/2007;15,48;92827000
12/11/2007;14,51;104795800
09/11/2007;15,22;79333800
08/11/2007;15,24;90951600
07/11/2007;15,42;59662200
06/11/2007;15,95;86623400
05/11/2007;15,73;80378000
01/11/2007;15,7;79222000
31/10/2007;16,08;116669800
30/10/2007;16,66;55769800
29/10/2007;16,91;46844200
26/10/2007;16,73;90596000
25/10/2007;16,48;196558400
24/10/2007;17,04;83473400
23/10/2007;17,22;75041200
22/10/2007;17,03;77135600
19/10/2007;16,91;136994400
18/10/2007;17,63;100199800
17/10/2007;17,5;107648600
16/10/2007;16,97;88099800
15/10/2007;16,99;84929200
12/10/2007;17,29;71163000
11/10/2007;16,98;145860000
10/10/2007;16,91;62774400
09/10/2007;16,86;65348400
08/10/2007;16,97;54103800
05/10/2007;16,77;75444600
04/10/2007;16,35;102015800
03/10/2007;16,67;79975600
02/10/2007;17,14;91790400
01/10/2007;16,94;64431400
28/09/2007;16,56;73898600
27/09/2007;16,75;55783000
26/09/2007;16,58;49010800
25/09/2007;16,39;49996800
24/09/2007;16,62;36881600
21/09/2007;16,63;68443800
20/09/2007;16,43;64571800
19/09/2007;16,49;121638400
18/09/2007;16,47;101986400
17/09/2007;16;32541800
14/09/2007;16,07;50474600
13/09/2007;16,13;62302600
12/09/2007;15,79;67095800
11/09/2007;15,84;72754200
10/09/2007;15,6;63495600
07/09/2007;15,62;72318400
06/09/2007;15,98;52319000
05/09/2007;16,08;58896600
04/09/2007;16,1;105649000
03/09/2007;15,99;23630000
31/08/2007;15,84;110576600
30/08/2007;15,52;114520000
29/08/2007;15,51;99163200
28/08/2007;15,25;127127800
27/08/2007;15,82;62252600
24/08/2007;15,81;84869800
23/08/2007;15,6;98385600
22/08/2007;15,33;66835400
21/08/2007;14,95;78851400
20/08/2007;15,02;76618600
17/08/2007;15,24;162063200
16/08/2007;14,39;170838000
15/08/2007;14,15;130598000
14/08/2007;14,62;86112800
13/08/2007;15,01;90293800
10/08/2007;14,95;147831000
09/08/2007;15,28;86553800
08/08/2007;15,71;98240400
07/08/2007;15,52;100571400
06/08/2007;15,17;86242400
03/08/2007;14,98;59240600
02/08/2007;15,47;88784200
01/08/2007;15,06;121615400
31/07/2007;15,52;107568800
30/07/2007;15,69;95908800
27/07/2007;15,21;116858000
26/07/2007;15,05;245739400
25/07/2007;15,81;176232800
24/07/2007;16,15;131804000
23/07/2007;16,73;80986600
20/07/2007;16,26;63555200
19/07/2007;16,47;82581800
18/07/2007;16,3;102246000
17/07/2007;16,4;78877200
16/07/2007;16,57;51739000
13/07/2007;16,66;55703800
12/07/2007;16,62;72060800
11/07/2007;16,45;102603800
10/07/2007;16,15;113707800
09/07/2007;16,33;90118200
06/07/2007;16,88;87083600
05/07/2007;16,88;73963200
04/07/2007;16,79;45896600
03/07/2007;16,61;91139000
02/07/2007;16,01;88748600
29/06/2007;15,87;82037600
28/06/2007;15,91;69565200
27/06/2007;15,78;129973600
26/06/2007;15,54;84336000
25/06/2007;15,88;51558600
22/06/2007;16,2;75636200
21/06/2007;16,29;93372800
20/06/2007;16,14;102853200
19/06/2007;16,44;76136600
18/06/2007;16,41;52600200
15/06/2007;16,31;84373000
14/06/2007;16,09;51319800
13/06/2007;15,9;60051800
12/06/2007;15,73;45059800
11/06/2007;15,89;44990600
08/06/2007;15,79;94164400
07/06/2007;15,5;102789200
06/06/2007;15,65;91676200
05/06/2007;16,01;35770400
04/06/2007;15,89;36640800
01/06/2007;15,92;104456400
31/05/2007;15,41;126136600
30/05/2007;15,62;98391400
29/05/2007;15,09;62820400
28/05/2007;15,18;9008800
25/05/2007;15,12;70291600
24/05/2007;14,77;62674200
23/05/2007;15,1;109156200
22/05/2007;15,08;77317600
21/05/2007;15,04;49850800
18/05/2007;15,06;63420200
17/05/2007;14,68;74186600
16/05/2007;14,61;93955400
15/05/2007;14,08;50645800
14/05/2007;14,04;51443200
11/05/2007;14,18;56105000
10/05/2007;13,93;82770400
09/05/2007;14,3;59700000
08/05/2007;14,09;60721200
07/05/2007;14,24;58338800
04/05/2007;14,21;81678400
03/05/2007;14,12;64650000
02/05/2007;13,82;74603200
30/04/2007;13,66;71391400
27/04/2007;14,14;81850800
26/04/2007;14,04;162185800
25/04/2007;13,55;68836400
24/04/2007;13,47;76163800
23/04/2007;13,38;38687800
20/04/2007;13,56;44378800
19/04/2007;13,33;31839000
18/04/2007;13,27;21196000
17/04/2007;13,28;37008800
16/04/2007;13,21;55451600
13/04/2007;13,27;35239600
12/04/2007;13,13;76276000
11/04/2007;12,99;40808400
10/04/2007;13,02;53868200
09/04/2007;13,15;33414600
04/04/2007;13,07;31729400
03/04/2007;13,08;53077400
02/04/2007;13,1;85473800
30/03/2007;12,55;57818800
29/03/2007;12,52;82324400
28/03/2007;12,25;58874600
27/03/2007;12,2;78582400
26/03/2007;12,28;31850600
23/03/2007;12,35;36866200
22/03/2007;12,36;89480400
21/03/2007;12,42;130308800
20/03/2007;12,07;90924200
16/03/2007;11,77;48243400
15/03/2007;11,78;44538400
14/03/2007;11,74;78701000
13/03/2007;11,64;85641400
12/03/2007;11,96;35630800
09/03/2007;11,83;62371600
08/03/2007;11,62;106530000
07/03/2007;11,31;65767800
06/03/2007;11,4;81305600
05/03/2007;11,19;81977400
02/03/2007;11,46;76218000
01/03/2007;11,48;149510800
28/02/2007;11,6;163016000
27/02/2007;11,52;239746800
26/02/2007;12,18;74809200
23/02/2007;12,32;60593800
22/02/2007;12,34;71221000
21/02/2007;12,45;113252200
20/02/2007;12,42;96993600
19/02/2007;12,55;119950400
16/02/2007;12,55;58150000
15/02/2007;12,54;85288000
14/02/2007;12,53;107743400
13/02/2007;12,44;88359400
12/02/2007;12,3;78050800
09/02/2007;12,24;136121200
08/02/2007;12,41;341354800
07/02/2007;11,99;135605800
06/02/2007;11,86;105518600
02/02/2007;11,68;66650400
01/02/2007;11,69;114300200
31/01/2007;11,61;116457800
30/01/2007;11,31;107404600
29/01/2007;11,31;108265200
26/01/2007;11,43;123268400
25/01/2007;11,59;88330600
24/01/2007;11,78;175493600
23/01/2007;11,47;101573400
22/01/2007;11,19;96543400
19/01/2007;11,22;107045400
18/01/2007;11,16;101551600
17/01/2007;11,45;91070200
16/01/2007;11,53;55766800
15/01/2007;11,56;10352400
12/01/2007;11,52;60051200
11/01/2007;11,56;67413600
10/01/2007;11,44;63525400
09/01/2007;11,33;120629600
08/01/2007;11,63;40187200
05/01/2007;11,61;50441800
04/01/2007;11,94;47548400
03/01/2007;11,84;85756200
02/01/2007;11,7;17578600
29/12/2006;11,57;23819000
28/12/2006;11,5;42323400
27/12/2006;11,44;32709000
26/12/2006;11,22;18904800
22/12/2006;11;36901200
21/12/2006;11,14;86377000
20/12/2006;11,1;56640000
19/12/2006;11,22;71464600
18/12/2006;11,36;60806800
15/12/2006;11,44;64169600
14/12/2006;11,55;44171800
13/12/2006;11,49;64749600
11/12/2006;11,68;29625800
