index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
93,<function relu at 0x0000000008D4B400>,1000,4.336658995768871,100,0.0005,"[0.5852162837982178, 1.2536845207214355, 1.6836838722229004, 2.2268686294555664, 0.6013720035552979, -0.0017458312213420868, -0.040293704718351364, -1.8470667600631714, -0.889385461807251, -0.44171345233917236, 2.191282033920288, 4.380876064300537, 6.28158712387085, 6.492027759552002]",4.336658995768871
7,<function elu at 0x0000000008D556A8>,500,4.336738014492706,100,0.001,"[0.5363307595252991, 1.3414552211761475, 1.0733510255813599, 2.1493899822235107, 0.4022876024246216, 0.6639729142189026, -1.3870891332626343, -0.03640998527407646, 1.8527911901474, 4.252747058868408, 4.740179538726807, 3.6948347091674805, 2.8122246265411377, 3.165008544921875]",4.336738014492706
78,<function relu at 0x0000000008D4B400>,500,4.337150429775281,100,0.001,"[0.6892585754394531, 1.335680603981018, 1.45492684841156, 2.3224949836730957, 0.5908505916595459, -0.01603075861930847, 0.2138364613056183, 0.8906015157699585, 4.098318099975586, 5.583615779876709, 7.889019012451172, 7.061723232269287, 4.294790744781494, 2.3032643795013428]",4.337150429775281
75,<function relu at 0x0000000008D4B400>,1000,4.341346451778191,100,0.0001,"[0.3627634644508362, 1.0136216878890991, 1.5918136835098267, 2.398521900177002, 0.817218542098999, -0.5437206029891968, -0.510151743888855, -1.4531759023666382, -2.0395798683166504, -2.825288772583008, -1.610206127166748, -0.5968555212020874, 1.3342945575714111, 2.1539669036865234]",4.341346451778191
82,<function relu at 0x0000000008D4B400>,1000,4.358739336547348,100,0.001,"[0.6652307510375977, 1.439424991607666, 1.0131992101669312, 2.1126301288604736, 1.856780767440796, 2.932952404022217, 5.02682638168335, 5.229231834411621, 6.060852527618408, 5.952713966369629, 4.752857208251953, 1.3302539587020874, -1.2049875259399414, -3.6909902095794678]",4.358739336547348
69,<function elu at 0x0000000008D556A8>,1000,4.358866758978841,1000,0.0005,"[0.7528218626976013, 1.449488639831543, 1.0841165781021118, 1.7229347229003906, 2.6792032718658447, 4.218252182006836, 3.0858469009399414, 0.8100008368492126, -2.3874096870422363, 0.43068403005599976, 1.1491823196411133, 6.413954734802246, 5.075294017791748, 3.463736057281494]",4.358866758978841
48,<function elu at 0x0000000008D556A8>,500,4.371575836099689,1000,0.0001,"[-0.061251040548086166, 1.0459399223327637, 1.2040129899978638, 1.335635781288147, 0.5768543481826782, -0.6764487028121948, -2.9564311504364014, -3.0076100826263428, -1.5759938955307007, 0.6229424476623535, 1.8597946166992188, 0.9454866051673889, 1.8828634023666382, -2.1546151638031006]",4.371575836099689
50,<function elu at 0x0000000008D556A8>,500,4.375724784371004,1000,0.0001,"[-0.022786542773246765, 1.0904748439788818, 1.4581286907196045, 1.6415506601333618, 0.8580926656723022, -0.4020908772945404, -2.4553422927856445, -3.4833455085754395, -1.1612403392791748, 1.7552788257598877, 2.1635289192199707, -0.4788396954536438, -0.7446613311767578, -2.5993034839630127]",4.375724784371004
18,<function elu at 0x0000000008D556A8>,500,4.39307050585679,100,0.0005,"[0.2785100042819977, 1.442393183708191, 1.5356440544128418, 1.4317339658737183, -0.0029704291373491287, -0.5535032749176025, -1.8946107625961304, -2.5870985984802246, -1.0181618928909302, -0.6681796312332153, 0.8192968368530273, 1.4613373279571533, 1.469806432723999, -0.26972898840904236]",4.39307050585679
35,<function elu at 0x0000000008D556A8>,1000,4.409103126534845,500,0.001,"[0.7686261534690857, 1.4013406038284302, 1.2102348804473877, 2.244886875152588, 2.9270594120025635, 3.416081666946411, 2.3704216480255127, -4.92594575881958, -2.7861149311065674, -0.3621819019317627, 0.6478452086448669, 1.8677712678909302, -0.9930698871612549, 1.167282223701477]",4.409103126534845
90,<function relu at 0x0000000008D4B400>,500,4.419962240278362,100,0.0005,"[0.5042037963867188, 1.221464991569519, 1.6786861419677734, 2.5501198768615723, 0.96373450756073, -0.16005055606365204, -0.4052610993385315, -1.8916442394256592, -1.5737786293029785, -1.6053214073181152, 0.3978967070579529, 2.91607928276062, 5.9867119789123535, 7.540320873260498]",4.419962240278362
141,<function relu at 0x0000000008D4B400>,1000,4.445036179606805,1000,0.0005,"[0.9810645580291748, 1.5182524919509888, 1.2365554571151733, 2.7418811321258545, 1.613353967666626, 1.2950899600982666, 3.6856038570404053, 3.406360149383545, 4.449483871459961, 3.5299580097198486, -1.0391173362731934, -1.0344737768173218, 0.571887731552124, -1.5273185968399048]",4.445036179606805
71,<function elu at 0x0000000008D556A8>,1000,4.465864612506979,1000,0.0005,"[0.6518158912658691, 1.504034399986267, 1.1634749174118042, 2.2674574851989746, 3.3728888034820557, 2.571601390838623, 3.9134254455566406, 1.560404896736145, -0.8118544816970825, -2.314283609390259, -0.14491403102874756, 1.316581130027771, 1.725170612335205, 3.6221179962158203]",4.465864612506979
6,<function elu at 0x0000000008D556A8>,500,4.467637952985927,100,0.001,"[0.34165021777153015, 1.1916775703430176, 1.150890588760376, 0.16014786064624786, -1.876230239868164, -1.4924595355987549, -3.1810266971588135, -3.600245237350464, -0.5577555298805237, -0.731164276599884, 1.5656206607818604, -0.6606867909431458, -2.942089319229126, -5.558872222900391]",4.467637952985927
104,<function relu at 0x0000000008D4B400>,500,4.497018884299698,500,0.001,"[0.6340939402580261, 1.184698462486267, 1.523910641670227, 2.8255820274353027, 2.7677340507507324, 3.8568572998046875, 2.5985796451568604, -1.1506699323654175, 1.7432290315628052, 3.025862693786621, 3.641738176345825, -0.7768864035606384, -4.180730819702148, -5.696803092956543]",4.497018884299698
83,<function relu at 0x0000000008D4B400>,1000,4.509731065668208,100,0.001,"[0.9576084613800049, 1.0470712184906006, 1.1912670135498047, 2.6913938522338867, 2.0769903659820557, 4.304869651794434, 4.429506301879883, 6.190639972686768, 9.012795448303223, 10.697166442871094, 10.325872421264648, 9.156953811645508, 8.714097023010254, 9.972702026367188]",4.509731065668208
34,<function elu at 0x0000000008D556A8>,1000,4.556208136288838,500,0.001,"[0.7618765234947205, 1.6109814643859863, 1.3031339645385742, 2.4078168869018555, 3.265345335006714, 3.6515939235687256, 3.1824967861175537, 0.62763911485672, -3.133208751678467, 0.06119232624769211, 0.961414635181427, -2.0856926441192627, 6.103372097015381, 0.33693772554397583]",4.556208136288838
114,<function relu at 0x0000000008D4B400>,500,4.564189487367502,500,0.0005,"[0.7439855337142944, 1.164270281791687, 1.3013300895690918, 2.8181509971618652, 2.2749075889587402, 3.497833251953125, 5.331490516662598, 5.344232559204102, 7.463064670562744, 8.543203353881836, 6.641116619110107, 2.274016857147217, -2.122612953186035, -5.572444438934326]",4.564189487367502
